_SMB_DA_TOKEN_IDS_H_   
TOKEN_E_SUPPORT_NOT_SELECT 0x00E1  
TOKEN_HOTKEY_F2_EN 0x00E2  
TOKEN_HOTKEY_F2_DIS 0x00E3  
TOKEN_HOTKEY_F12_EN 0x00E4  
TOKEN_HOTKEY_F12_DIS 0x00E5  
TOKEN_BOOT_SPEED_DEFAULT 0x00E6  
TOKEN_BOOT_SPEED_COMPATIBLE 0x00E7  
TOKEN_MINIPCI_EN 0x00E8  
TOKEN_MINIPCI_DIS 0x00E9  
TOKEN_POSTTEST_MIN 0x00EA  
TOKEN_POSTTEST_FULL 0x00EB  
TOKEN_POSTTEST_AUTO 0x00EC  
TOKEN_SPEEDSTEP_DIS 0x00ED  
TOKEN_SPEEDSTEP_MAXPERF 0x00EE  
TOKEN_SPEEDSTEP_MAXBATT 0x00EF  
TOKEN_SPEEDSTEP_AUTO 0x00F0  
TOKEN_POINTING_DEV_SERIAL 0x00F1  
TOKEN_POINTING_DEV_PS2 0x00F2  
TOKEN_POINTING_DEV_TOUCHPAD 0x00F3  
TOKEN_POINTING_DEV_EXT_PS2 0x00F4  
TOKEN_LOWPOWER_EN 0x00F5  
TOKEN_LOWPOWER_DIS 0x00F6  
TOKEN_CPU_5_SPEED 0x00F7  
TOKEN_CPU_6_SPEED 0x00F8  
TOKEN_CPU_7_SPEED 0x00F9  
TOKEN_CPU_8_SPEED 0x00FA  
TOKEN_ASF_EN 0x00FB  
TOKEN_ASF_DIS 0x00FC  
TOKEN_USB_CTRLR_DIS 0x00FD  
TOKEN_USB_CTRLR_NO_LEGACY 0x00FE  
TOKEN_USB_CTRLR_EN 0x00FF  
TOKEN_HD_ACOUSTIC_BYPASS 0x0101  
TOKEN_HD_ACOUSTIC_QUIET 0x0102  
TOKEN_HD_ACOUSTIC_SUGG 0x0103  
TOKEN_HD_ACOUSTIC_PERF 0x0104  
TOKEN_STANDBY_S1 0x0105  
TOKEN_STANDBY_S3 0x0106  
TOKEN_INT13_UDMA_EN 0x0107  
TOKEN_INT13_UDMA_DIS 0x0108  
TOKEN_USB_EMUL_NOBOOT 0x0109  
TOKEN_MODEM_EN 0x010A  
TOKEN_MODEM_DIS 0x010B 
TOKEN_RADIO_EN 0x010C  
TOKEN_RADIO_DIS 0x010D 
TOKEN_POWER_WARN_EN 0x010E  
TOKEN_POWER_WARN_DIS 0x010F 
TOKEN_KEYPAD_EN 0x0110  
TOKEN_KEYPAD_DIS 0x0111 
TOKEN_VIDEO_EXPANSION_EN 0x0112  
TOKEN_VIDEO_EXPANSION_DIS 0x0113 
TOKEN_WIRELESS_CONTROL_DIS 0x0114 
TOKEN_WIRELESS_CONTROL_APP 0x0115 
TOKEN_WIRELESS_CONTROL_FNF2_APP 0x0116 
TOKEN_SATA_0_OFF 0x0117 
TOKEN_SATA_0_AUTO 0x0118 
TOKEN_SATA_1_OFF 0x0119 
TOKEN_SATA_1_AUTO 0x011A 
TOKEN_SATA_2_OFF 0x011B 
TOKEN_SATA_2_AUTO 0x011C 
TOKEN_SATA_3_OFF 0x011D 
TOKEN_SATA_3_AUTO 0x011E 
TOKEN_SATA_4_OFF 0x011F 
TOKEN_SATA_4_AUTO 0x0120 
TOKEN_SATA_5_OFF 0x0121 
TOKEN_SATA_5_AUTO 0x0122 
TOKEN_SATA_6_OFF 0x0123 
TOKEN_SATA_6_AUTO 0x0124 
TOKEN_SATA_7_OFF 0x0125 
TOKEN_SATA_7_AUTO 0x0126 
TOKEN_NIC_EN_RPL 0x0127 
TOKEN_USB_EMULATION_AUTO 0x0128  
TOKEN_USB_EMULATION_FLOPPY 0x0129  
TOKEN_USB_EMULATION_HD 0x012A  
TOKEN_SMART_ERR_EN 0x012B  
TOKEN_SMART_ERR_DIS 0x012C 
TOKEN_ENERGY_STAR_EN 0x012D  
TOKEN_ENERGY_STAR_DIS 0x012E 
TOKEN_INT_VIDEO_1MB 0x012F  
TOKEN_INT_VIDEO_8MB 0x0130  
TOKEN_INT_VIDEO_32MB 0x0131  
TOKEN_ONBOARD_SATA2_EN 0x0132  
TOKEN_ONBOARD_SATA2_DIS 0x0133 
TOKEN_REDUNDANT_MEMORY_RAID 0x0134  
TOKEN_SATA_DIS 0x0135  
TOKEN_SATA_COMBINED 0x0136  
TOKEN_SATA_ATA 0x0137  
TOKEN_SATA_AHCI 0x0138  
TOKEN_SATA_RAID 0x0139  
TOKEN_SATA_SHADOW_COMBINED 0x013A  
TOKEN_SATA_SHADOW_ATA 0x013B  
TOKEN_SATA_SHADOW_AHCI 0x013C  
TOKEN_SATA_SHADOW_RAID 0x013D  
TOKEN_MEMORY_REMAP_DIS 0x013E  
TOKEN_MEMORY_REMAP_AUTO 0x013F 
TOKEN_CPU_XD_DISABLE 0x0140 
TOKEN_CPU_XD_ENABLE 0x0141 
TOKEN_SMARTCARD_DISABLE 0x0142 
TOKEN_SMARTCARD_ENABLE 0x0143 
TOKEN_TPM_OS_DISABLE 0x0144 
TOKEN_TPM_OS_ENABLE 0x0145 
TOKEN_USB_WAKE_DISABLE 0x0146 
TOKEN_USB_WAKE_ENABLE 0x0147 
TOKEN_DEMAND_BASE_PM_DIS 0x0148  
TOKEN_DEMAND_BASE_PM_EN 0x0149 
TOKEN_VT_DISABLE 0x014A  
TOKEN_VT_ENABLE 0x014B  
TOKEN_CMP_DISABLE 0x014C  
TOKEN_CMP_ENABLE 0x014D  
TOKEN_FRONT_USB_DIS 0x014E  
TOKEN_FRONT_USB_EN 0x014F  
TOKEN_DOCK_EJ0_DIS 0x0150  
TOKEN_DOCK_EJ0_EN 0x0151 
TOKEN_BT_ENABLE 0x0152  
TOKEN_BT_DISABLE 0x0153 
TOKEN_SERR_DMI_MSG_DIS 0x0154  
TOKEN_SERR_DMI_MSG_EN 0x0155 
TOKEN_ENERGY_LAKE_DIS 0x0156  
TOKEN_ENERGY_LAKE_EN 0x0157 
TOKEN_SATA_0_RAID_DIS 0x0158 
TOKEN_SATA_0_RAID_EN 0x0159 
